date,exact value,value
7/04/2013,0.27875625,0.279
8/04/2013,0.244129167,0.244
9/04/2013,0.258060937,0.258
10/04/2013,0.246855729,0.247
11/04/2013,0.23988177,0.24
12/04/2013,0.253267709,0.253
13/04/2013,0.252125,0.252
14/04/2013,0.220033333,0.22
15/04/2013,0.207074479,0.207
16/04/2013,0.202755208,0.203
17/04/2013,0.195517941,0.196
18/04/2013,0.212751562,0.213
19/04/2013,0.214428646,0.214
20/04/2013,0.209383333,0.209
21/04/2013,0.20659375,0.207
22/04/2013,0.231214063,0.231
23/04/2013,0.182798438,0.183
24/04/2013,0.179970257,0.18
25/04/2013,0.155429688,0.155
26/04/2013,0.165853646,0.166
27/04/2013,0.186901562,0.187
28/04/2013,0.193049479,0.193
29/04/2013,0.189288021,0.189
30/04/2013,0.184486979,0.184
1/05/2013,0.192261458,0.192
2/05/2013,0.181423437,0.181
3/05/2013,0.173639583,0.174
4/05/2013,0.188402604,0.188
5/05/2013,0.191276562,0.191
6/05/2013,0.192386458,0.192
7/05/2013,0.175141146,0.175
8/05/2013,0.183738542,0.184
9/05/2013,0.205461809,0.205
10/05/2013,0.19040625,0.19
11/05/2013,0.201989583,0.202
12/05/2013,0.211596354,0.212
13/05/2013,0.211033333,0.211
14/05/2013,0.231580208,0.232
15/05/2013,0.238910417,0.239
16/05/2013,0.206727372,0.207
17/05/2013,0.223751042,0.224
18/05/2013,0.19605492,0.196
19/05/2013,0.213975,0.214
20/05/2013,0.198890625,0.199
21/05/2013,0.184744792,0.185
22/05/2013,0.192677083,0.193
23/05/2013,0.20520625,0.205
24/05/2013,0.219075521,0.219
25/05/2013,0.188709896,0.189
26/05/2013,0.164642187,0.165
27/05/2013,0.166731073,0.167
28/05/2013,0.208296875,0.208
29/05/2013,0.224251562,0.224
30/05/2013,0.244666667,0.245
31/05/2013,0.217038021,0.217
1/06/2013,0.188085937,0.188
2/06/2013,0.178577083,0.179
3/06/2013,0.175465104,0.175
4/06/2013,0.187573958,0.188
5/06/2013,0.184186935,0.184
6/06/2013,0.17720625,0.177
7/06/2013,0.199036979,0.199
8/06/2013,0.205128779,0.205
9/06/2013,0.214838542,0.215
10/06/2013,0.208333854,0.208
11/06/2013,0.199377083,0.199
12/06/2013,0.201016146,0.201
13/06/2013,0.211283854,0.211
14/06/2013,0.164817187,0.165
15/06/2013,0.177811979,0.178
16/06/2013,0.185647917,0.186
17/06/2013,0.172934375,0.173
18/06/2013,0.174852848,0.175
19/06/2013,0.175098438,0.175
20/06/2013,0.187501042,0.188
21/06/2013,0.187960938,0.188
22/06/2013,0.186719271,0.187
23/06/2013,0.189780729,0.19
24/06/2013,0.189446942,0.189
25/06/2013,0.187028646,0.187
26/06/2013,0.188089063,0.188
27/06/2013,0.186304167,0.186
28/06/2013,0.191680729,0.192
29/06/2013,0.185777083,0.186
30/06/2013,0.174043104,0.174
1/07/2013,0.192142709,0.192
2/07/2013,0.199058854,0.199
3/07/2013,0.205186458,0.205
4/07/2013,0.182747917,0.183
5/07/2013,0.162795833,0.163
6/07/2013,0.169204167,0.169
7/07/2013,0.170417708,0.17
8/07/2013,0.186010417,0.186
9/07/2013,0.178155729,0.178
10/07/2013,0.187414251,0.187
11/07/2013,0.1745125,0.175
12/07/2013,0.180636458,0.181
13/07/2013,0.176104167,0.176
14/07/2013,0.187240625,0.187
15/07/2013,0.18566875,0.186
16/07/2013,0.177068972,0.177
17/07/2013,0.176260937,0.176
18/07/2013,0.172790625,0.173
19/07/2013,0.173036458,0.173
20/07/2013,0.172063021,0.172
21/07/2013,0.169865625,0.17
22/07/2013,0.182096354,0.182
23/07/2013,0.183896698,0.184
24/07/2013,0.174347396,0.174
25/07/2013,0.178798958,0.179
26/07/2013,0.172517188,0.173
27/07/2013,0.169170313,0.169
28/07/2013,0.18075625,0.181
29/07/2013,0.176305208,0.176
30/07/2013,0.179926562,0.18
31/07/2013,0.179025,0.179
1/08/2013,0.170192188,0.17
2/08/2013,0.177467387,0.177
3/08/2013,0.173604688,0.174
4/08/2013,0.175104167,0.175
5/08/2013,0.17431875,0.174
6/08/2013,0.168407292,0.168
7/08/2013,0.168499479,0.168
8/08/2013,0.168210938,0.168
9/08/2013,0.153383854,0.153
10/08/2013,0.164916146,0.165
11/08/2013,0.17141875,0.171
12/08/2013,0.165040625,0.165
13/08/2013,0.163692187,0.164
14/08/2013,0.1600375,0.16
15/08/2013,0.171469271,0.171
16/08/2013,0.170470313,0.17
17/08/2013,0.183007735,0.183
18/08/2013,0.179511979,0.18
19/08/2013,0.172975,0.173
20/08/2013,0.163579167,0.164
21/08/2013,0.1696625,0.17
22/08/2013,0.192153646,0.192
23/08/2013,0.176198958,0.176
24/08/2013,0.184988109,0.185
25/08/2013,0.174927604,0.175
26/08/2013,0.166119271,0.166
